product_type	google_product_category
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Shearling & Fur Trimmed Boots
MENS CLOTHING>SHIRTS AND SWEATERS>LONG SLEEVE CASUAL SHIRTS	Apparel & Accessories>Clothing>Shirts & Tops
MENS CLOTHING>SHIRTS AND SWEATERS>SHORT SLEEVE CASUAL SHIRTS	Apparel & Accessories > Clothing > Shirts & Tops
WOMENS CLOTHING>PANTS AND SHORTS>CASUAL PANTS	Apparel & Accessories > Clothing > Pants
MENS CLOTHING>SHIRTS AND SWEATERS>SHORT SLEEVE CASUAL SHIRTS	Apparel & Accessories > Clothing > Shirts & Tops
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>WOMENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories > Shoes
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Shearling & Fur Trimmed Boots
KIDS CLOTHING>HATS GLOVES AND ACCESSORIES>SKI AND SNOWBOARD GLOVES	Apparel & Accessories > Clothing Accessories > Gloves & Mittens
FOOTWEAR>MENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots
FOOTWEAR>WOMENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories > Shoes
UNKNOWN	Apparel & Accessories>Clothing>Shirts & Tops>Shirts & Blouses
SPORTS GEAR>RACQUET SPORTS>TABLE TENNIS	Sporting Goods > Racquet Sports
FOOTWEAR>SOCKS>CASUAL	Apparel & Accessories > Clothing > Underwear & Socks > Socks
KIDS CLOTHING>HATS GLOVES AND ACCESSORIES>SKI AND SNOWBOARD GLOVES	Apparel & Accessories > Clothing Accessories > Gloves & Mittens
WOMENS CLOTHING>JACKETS AND VESTS>FLEECE JACKETS	Apparel & Accessories > Clothing > Outerwear
SPORTS GEAR>DISC GOLF>ACCESSORIES	Sporting Goods
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Snow Boots
FOOTWEAR>WOMENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories > Shoes
MENS CLOTHING>SHIRTS AND SWEATERS>SHORT SLEEVE CASUAL SHIRTS	Apparel & Accessories>Clothing>Shirts & Tops
MENS CLOTHING>SHIRTS AND SWEATERS>SHORT SLEEVE CASUAL SHIRTS	Apparel & Accessories > Clothing > Shirts & Tops
WOMENS CLOTHING>SHIRTS AND SWEATERS>LONG SLEEVE CASUAL SHIRTS	Apparel & Accessories > Clothing > Shirts & Tops > Shirts & Blouses
FOOTWEAR>SOCKS>CASUAL	Apparel & Accessories > Clothing > Underwear & Socks > Socks
SPORTS GEAR>RACQUET SPORTS>TABLE TENNIS	Sporting Goods > Racquet Sports
WOMENS CLOTHING>SHIRTS AND SWEATERS>SWEATERS AND SWEATSHIRTS	Apparel & Accessories > Clothing > Shirts & Tops > Shirts & Blouses
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Shearling & Fur Trimmed Boots
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Shearling & Fur Trimmed Boots
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
MENS CLOTHING>SHIRTS AND SWEATERS>LONG SLEEVE CASUAL SHIRTS	Apparel & Accessories>Clothing>Shirts & Tops
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Shearling & Fur Trimmed Boots
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Snow Boots
MENS CLOTHING>SHIRTS AND SWEATERS>LONG SLEEVE CASUAL SHIRTS	Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts
MENS CLOTHING>JACKETS AND VESTS>WIND AND RAIN JACKETS	Apparel & Accessories > Clothing > Outerwear
SPORTS GEAR>RACQUET SPORTS>TABLE TENNIS	Sporting Goods > Racquet Sports
FOOTWEAR>WOMENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories > Shoes
WOMENS CLOTHING>SHIRTS AND SWEATERS>SHORT SLEEVE CASUAL SHIRTS	Apparel & Accessories>Clothing>Shirts & Tops
FOOTWEAR>MENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots
WOMENS CLOTHING>JACKETS AND VESTS>WIND AND RAIN JACKETS	Apparel & Accessories > Clothing > Outerwear > Rain Gear > Raincoats
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Shearling & Fur Trimmed Boots
FOOTWEAR>SOCKS>WINTER	Apparel & Accessories > Clothing > Underwear & Socks > Socks
